text,answer,a,b,c,d,e,f,g,h,hint,feedback
"Which English sentence is logically equivalent to ""It is not true that the child is at least 8 years old and at least 57 inches tall""?",The child is less than 8 years old or shorter than 57 inches,The child is at least 8 years old and at least 57 inches tall,The child is less than 8 years old or shorter than 57 inches,The child is less than 8 years old and shorter than 57 inches,The child is at least 8 years old or at least 57 inches tall,,,,,,
"To prove two propositions are not logically equivalent, it suffices to show _____.",a truth assignment where they differ in truth value,they have the same truth values for all assignments,a truth assignment where they differ in truth value,one is a tautology and the other is not,both are contradictions,,,,,,
A compound proposition that is always true regardless of individual truth values is called a/an _____.,tautology,contradiction,tautology,contingency,equivalence,,,,,,
"If a compound proposition is always false regardless of individual truth values, it is a/an _____.",contradiction,tautology,inference,contradiction,equivalence,,,,,,
"To show two compound propositions are logically equivalent, their biconditional must be a/an _____.",tautology,contradiction,tautology,invalid statement,contingency,,,,,,
Which truth assignment disproves that \((p \land q) \rightarrow r\) is a tautology?,"\(p = q = \text{T}, r = \text{F}\)",\(p = q = r = \text{T}\),"\(p = q = \text{T}, r = \text{F}\)","\(p = \text{F}, q = r = \text{T}\)","\(p = r = \text{F}, q = \text{T}\)",,,,,,
De Morgan's law states \(\neg (p \lor q) \equiv\) _____.,\(\neg p \land \neg q\),\(\neg p \lor \neg q\),\(\neg p \land \neg q\),\(\neg p \to \neg q\),\(\neg (p \land q)\),,,,,,
"What is the negation of the statement: ""The child is at least 8 years old and at least 57 inches tall"" using De Morgan's laws?",The child is less than 8 years old or shorter than 57 inches.,The child is less than 8 years old and shorter than 57 inches.,The child is less than 8 years old or shorter than 57 inches.,The child is at least 8 years old or at least 57 inches tall.,The child is at least 8 years old and shorter than 57 inches.,,,,,,
Which truth assignment makes \(\neg (p \lor q)\) true?,\(p = q = \text{F}\),\(p = q = \text{T}\),"\(p = \text{T}, q = \text{F}\)",\(p = q = \text{F}\),"\(p = \text{F}, q = \text{T}\)",,,,,,
What is the relationship between \(\neg p \lor \neg q\) and \(\neg (p \land q)\)?,They are logically equivalent.,They are logically equivalent.,They are contradictions.,They are tautologies.,They are neither equivalent nor contradictory.,,,,,,
How can one prove two compound propositions are not logically equivalent?,Show they have different truth values for some assignment.,Show their biconditional is a tautology.,Show they have different truth values for some assignment.,Show both are contradictions.,Show both are tautologies.,,,,,,
The proposition \(p \leftrightarrow \neg p\) is an example of a _____.,contradiction,tautology,contradiction,contingency,logical equivalence,,,,,,
"When \(p = \text{F}\) and \(q = \text{T}\), which pair is not logically equivalent?",\(p \rightarrow q\) and \(q \rightarrow p\),\(p \rightarrow q\) and \(q \rightarrow p\),\(p \lor q\) and \(\neg p \rightarrow q\),\(p \land q\) and \(q \land p\),\(\neg (p \lor q)\) and \(\neg p \land \neg q\),,,,,,
A compound proposition that is true for every truth assignment is called a/an _____.,tautology,contradiction,contingency,tautology,hypothesis,,,,,,
A compound proposition that is false for every truth assignment is called a/an _____.,contradiction,tautology,contradiction,contingency,equivalence,,,,,,
"To show two propositions are logically equivalent, their biconditional must be a/an _____.",tautology,contradiction,tautology,contingency,hypothesis,,,,,,
"If \(\neg (p \lor q)\) is logically equivalent to _____, this illustrates De Morgan's first law.",\(\neg p \land \neg q\),\(\neg p \lor \neg q\),\(\neg p \land \neg q\),\(p \land q\),\(p \lor q\),,,,,,
De Morgan's second law states that \(\neg (p \land q)\) is logically equivalent to _____.,\(\neg p \lor \neg q\),\(\neg p \land \neg q\),\(\neg p \lor \neg q\),\(p \lor q\),\(p \land q\),,,,,,
Which truth assignment makes \(\neg (p \lor q)\) true?,"\(p = \text{F}, q = \text{F}\)","\(p = \text{T}, q = \text{T}\)","\(p = \text{T}, q = \text{F}\)","\(p = \text{F}, q = \text{T}\)","\(p = \text{F}, q = \text{F}\)",,,,,,
Which truth assignment proves \(p \leftrightarrow r\) not equivalent to \(p \rightarrow r\)?,"\(p = \text{F}, r = \text{T}\)","\(p = \text{T}, r = \text{T}\)","\(p = \text{F}, r = \text{F}\)","\(p = \text{F}, r = \text{T}\)","\(p = \text{T}, r = \text{F}\)",,,,,,
The proposition \(p \land \neg p\) is a/an _____.,contradiction,tautology,contradiction,contingency,equivalence,,,,,,
Which of the following is true if \((p \land q) \rightarrow p\) is a tautology?,It is true regardless of \(p\) and \(q\) values.,It is false when \(p\) is false.,It is true regardless of \(p\) and \(q\) values.,It is false when \(q\) is true.,It is true only when \(p\) and \(q\) are both true.,,,,,,
Two propositions that always have different truth values are called _____.,not logically equivalent,logically equivalent,tautologies,contradictions,not logically equivalent,,,,,,
"Applying De Morgan's laws, the negation of ""the child is at least 8 years old and at least 57 inches tall"" is:",The child is less than 8 or shorter than 57.,The child is at least 8 or at least 57.,The child is less than 8 and shorter than 57.,The child is less than 8 or shorter than 57.,The child is at least 8 and shorter than 57.,,,,,,
