text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
The symbol \(\Sigma\) in summation notation represents the _____ of terms.,sum,product,difference,sum,division,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the upper limit in \(\sum_{i=3}^n a_i\)?,\(n\),3,\(n\),\(a_i\),\(i\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Pulling out the last term from \(\sum_{k=1}^n a_k\) creates which equivalent expression?,\(\sum_{k=1}^{n-1} a_k + a_n\),\(\sum_{k=1}^{n} a_k + a_n\),\(\sum_{k=1}^{n-1} a_k + a_n\),\(\sum_{k=1}^{n-1} a_k - a_n\),\(\sum_{k=1}^{n} a_k - a_n\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"If \(i = k + 2\), then the summation \(\sum_{k=1}^n (k+2)^3\) becomes",\(\sum_{i=3}^{n+2} i^3\),\(\sum_{i=1}^{n+2} i^3\),\(\sum_{i=3}^{n+2} i^3\),\(\sum_{i=3}^{n} i^3\),\(\sum_{i=1}^{n} i^3\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The closed form for the sum of \(n\) terms of an arithmetic sequence with initial term \(a\) and difference \(d\) is:,\(an + \frac{d(n-1)n}{2}\),\(an + \frac{d(n-1)n}{2}\),\(a + d \cdot n\),\(\frac{a(n^2)}{d}\),\(\frac{a + d}{n}\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In the geometric sum \(\sum_{k=0}^{n-1} a r^k\), what is the closed form expression?",\(\frac{a(r^{n} - 1)}{r-1}\),\(\frac{a(r^{n} - 1)}{r-1}\),\(a r^{n-1}\),\(a \cdot r \cdot n\),\(\frac{r^{n} - 1}{a(r-1)}\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why can the index variable in a summation be replaced with another variable?,It is internal and arbitrary,It changes the sum value,It is internal and arbitrary,It affects the limits,It changes the terms,,,,,,,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"When substituting \(j = i + 2\) in \(\sum_{i=3}^{21} \frac{1}{i+3}\), what is the new lower limit?",5,3,5,1,21,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What happens to the summation limits when the index variable is changed by \(i = k + 2\)?,Limits increase by 2,Limits decrease by 2,Limits increase by 2,Limits stay the same,Limits become zero,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How does the term inside the summation change under variable substitution \(i = j - 2\) for \(\frac{1}{i+3}\)?,\(\frac{1}{j + 1}\),\(\frac{1}{j - 1}\),\(\frac{1}{j + 1}\),\(\frac{1}{j + 2}\),\(\frac{1}{j - 3}\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why are closed form expressions preferred over expanded summations?,They provide the sum value directly and efficiently,They always have fewer terms,They provide the sum value directly and efficiently,They avoid using variables,They only apply to geometric sequences,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
