Discipline,Topic,Question_ID,Question_Text,Run_Number,Justification
Computer Science,Programming basics,q1,What symbol marks the end of each statement in Java?,3,"No, the question does not directly assess any of the learning objectives listed above, as it focuses on syntax rather than the construction of output statements, variable declaration, or the main method's purpose."
Computer Science,While loops,q5,What is the purpose of indentation in a while loop's code?,1,"No, the question does not directly assess the learning objectives listed above, as it focuses on the purpose of indentation rather than the use of while loops, sentinel values, or infinite loops."
Computer Science,While loops,q3,"In a while loop, what does indentation indicate?",3,"No, the question does not directly assess the learning objectives listed above, as it focuses on the concept of indentation rather than the use of while loops, sentinel values, or infinite loops."
Computer Science,While loops,q4,What does indentation define in a while loop?,4,"No, the question does not directly assess the learning objectives listed above, as it focuses on the concept of indentation rather than the use of while loops, sentinel values, or infinite loops."
Data Science,Data wrangling,q4,"In pandas, what does the DataFrame index represent?",2,"This question focuses on pandas DataFrame index concepts, which is not explicitly covered in the learning objectives."
Data Science,NumPy package,q4,How does the axis parameter affect the sort() function in NumPy?,2,"This question focuses on the axis parameter in sort(), which is not explicitly covered in the learning objectives."
Data Science,Programming with Python and Jupyter,q3,What is the role of the Python interpreter?,2,"This question focuses on the role of the Python interpreter, which is not explicitly covered in the stated learning objectives."
Discrete Mathematics,Sets and subsets,q6,"The cardinality of set \(A = \{2, 4, 6, 10\}\) is _____.",1,"This question focuses on cardinality calculation, which is not explicitly covered in the provided learning objectives."
Discrete Mathematics,Sets and subsets,q2,"In roster notation, repeating an element _____ the set.",2,"This question focuses on the effect of repeating elements in roster notation, which is a detail beyond the stated objectives."
Discrete Mathematics,Sets and subsets,q4,The cardinality \(|A|\) of a finite set \(A\) is the _____ of distinct elements in \(A\).,2,"This question is about cardinality definition, which is not explicitly included in the learning objectives."
Discrete Mathematics,Sets and subsets,q2,"In roster notation, the order of elements _____ affect the set.",3,"This question focuses on the effect of element order in roster notation, which is not explicitly covered in the objectives."
Discrete Mathematics,Sets and subsets,q8,"If a set \(A\) contains \(\{2, 4, 6, 8\}\), what is \(|A|\)?",3,"This question focuses on cardinality calculation, which is not explicitly covered in the learning objectives."
Discrete Mathematics,Sets and subsets,q2,"In roster notation, the order of elements in a set _____.",4,"This question focuses on the effect of element order in roster notation, which is not explicitly covered in the objectives."
Discrete Mathematics,Sets and subsets,q5,The cardinality \(|A|\) of a set \(A\) is the _____.,4,"This question focuses on cardinality definition, which is not explicitly included in the learning objectives."
